#;Torneo;Vincitore;Perdente;Kvincitore;Kperdente;Mvincitore;Mperdente;Mvincolato;Vincoli;Vincoli proposti;Abbinamento;M abbinamento;Crucible;;;;;;;;;;;;;;;;;;;;;;;
1;1° di prova;Andrea;Ghigo;3;2;ND;ND;;;0;Andrea-Ghigo;ND-ND;;;;;;;;;;;;;;;;;;;;;;;;
2;1° di prova;Luca;Sav;3;2;ND;Tiberius;;;-1;Luca-Sav;ND-Tiberius;;;;;;;;;;;;;;;;;;;;;;;;
3;1° di prova;Chiara;Fede;3;2;Salkhi;Pixel;;;0;Chiara-Fede;Pixel-Salkhi;;;;;;;;;;;;;;;;;;;;;;;;
4;1° di prova;Andrea;Ghigo;3;1;ND;ND;;;0;Andrea-Ghigo;ND-ND;;;;;;;;;;;;;;;;;;;;;;;;
5;1° di prova;Chiara;Luca;3;1;ND;ND;;;0;Chiara-Luca;ND-ND;;;;;;;;;;;;;;;;;;;;;;;;
6;1° di prova;Sav;Fede;3;1;Tiberius;Pixel;;;0;Fede-Sav;Pixel-Tiberius;;;;;;;;;;;;;;;;;;;;;;;;
7;1° di prova;Luca;Chiara;3;1;Partenia;ND;;;0;Chiara-Luca;ND-Partenia;;;;;;;;;;;;;;;;;;;;;;;;
8;1° di prova;Fede;Ghigo;3;0;Pixel;Arpataccagna;;;1;Fede-Ghigo;Arpataccagna-Pixel;;;;;;;;;;;;;;;;;;;;;;;;
9;1° di prova;Andrea;Chiara;3;1;ND;ND;;;0;Andrea-Chiara;ND-ND;;;;;;;;;;;;;;;;;;;;;;;;
10;1° di prova;Sav;Andrea;3;2;Torcia;Centauro;;;0;Andrea-Sav;Centauro-Torcia;;;;;;;;;;;;;;;;;;;;;;;;
11;1° di prova;Ghigo;Fede;3;1;Alchimista;Pixel;;;0;Fede-Ghigo;Alchimista-Pixel;;;;;;;;;;;;;;;;;;;;;;;;
12;1° di prova;Ghigo;Luca;3;2;Alchimista;ND;;;1;Ghigo-Luca;Alchimista-ND;;;;;;;;;;;;;;;;;;;;;;;;
13;1° di prova;Andrea;Sav;3;2;Gould;Tiberius;;;-1;Andrea-Sav;Gould-Tiberius;;;;;;;;;;;;;;;;;;;;;;;;
14;No;Sav;Fede;3;2;Pixel;Oli;;;1;Fede-Sav;Oli-Pixel;;;;;;;;;;;;;;;;;;;;;;;;
15;No;Gab;Sav;3;0;Caricatura;Silas;;;3;Gab-Sav;Caricatura-Silas;;;;;;;;;;;;;;;;;;;;;;;;
16;No;Chiara;Gab;3;2;Salkhi;Walker;;;1;Chiara-Gab;Salkhi-Walker;;;;;;;;;;;;;;;;;;;;;;;;
17;No;Gab;Gian;3;1;Walker;Centauro;;;0;Gab-Gian;Centauro-Walker;;;;;;;;;;;;;;;;;;;;;;;;
18;No;Gian;Gab;3;1;Centauro;Walker;;;0;Gab-Gian;Centauro-Walker;;;;;;;;;;;;;;;;;;;;;;;;
19;No;Noe;Fede;3;2;Oli;Pixel;;;-1;Fede-Noe;Oli-Pixel;;;;;;;;;;;;;;;;;;;;;;;;
20;No;Sav;Chiara;3;2;Clarissa;Torcia;;;0;Chiara-Sav;Clarissa-Torcia;;;;;;;;;;;;;;;;;;;;;;;;
21;No;Sav;Chiara;3;1;Clarissa;Torcia;;;0;Chiara-Sav;Clarissa-Torcia;;;;;;;;;;;;;;;;;;;;;;;;
22;No;Sav;Chiara;3;2;Clarissa;Torcia;;;0;Chiara-Sav;Clarissa-Torcia;;;;;;;;;;;;;;;;;;;;;;;;
23;No;Sav;Chiara;3;1;Torcia;Clarissa;;;0;Chiara-Sav;Clarissa-Torcia;;;;;;;;;;;;;;;;;;;;;;;;
24;No;Fede;Noe;3;0;Pixel;Oli;;;1;Fede-Noe;Oli-Pixel;;;;;;;;;;;;;;;;;;;;;;;;
25;No;Sav;Fede;3;2;Clarissa;Pixel;;;-1;Fede-Sav;Clarissa-Pixel;;;;;;;;;;;;;;;;;;;;;;;;
26;No;Sav;Fede;3;2;Silas;Oli;;;0;Fede-Sav;Oli-Silas;;;;;;;;;;;;;;;;;;;;;;;;
27;No;Sav;Fede;3;2;Oli;Silas;;;0;Fede-Sav;Oli-Silas;;;;;;;;;;;;;;;;;;;;;;;;
28;No;Fede;Chiara;3;2;Pixel;Torcia;;;1;Chiara-Fede;Pixel-Torcia;;;;;;;;;;;;;;;;;;;;;;;;
29;No;Chiara;Fede;3;1;Torcia;Oli;;;0;Chiara-Fede;Oli-Torcia;;;;;;;;;;;;;;;;;;;;;;;;
30;No;Fede;Chiara;3;2;Torcia;Oli;;;0;Chiara-Fede;Oli-Torcia;;;;;;;;;;;;;;;;;;;;;;;;
31;No;Andrea;Sav;3;2;Solveig;Clarissa;;;1;Andrea-Sav;Clarissa-Solveig;;;;;;;;;;;;;;;;;;;;;;;;
32;No;Andrea;Sav;3;2;Calliope;Clarissa;;;0;Andrea-Sav;Calliope-Clarissa;;;;;;;;;;;;;;;;;;;;;;;;
33;No;Andrea;Chiara;3;2;Solveig;Torcia;;;1;Andrea-Chiara;Solveig-Torcia;;;;;;;;;;;;;;;;;;;;;;;;
34;No;Chiara;Andrea;3;2;Solveig;Torcia;;;1;Andrea-Chiara;Solveig-Torcia;;;;;;;;;;;;;;;;;;;;;;;;
35;No;Chiara;Andrea;3;2;Salkhi;Solveig;;;0;Andrea-Chiara;Salkhi-Solveig;;;;;;;;;;;;;;;;;;;;;;;;
36;No;Gab;Andrea;3;2;Caricatura;Calliope;;;3;Andrea-Gab;Calliope-Caricatura;;;;;;;;;;;;;;;;;;;;;;;;
37;No;Andrea;Gab;3;2;Solveig;Walker;;;1;Andrea-Gab;Solveig-Walker;;;;;;;;;;;;;;;;;;;;;;;;
38;No;Gab;Andrea;3;1;Silas;Gould;;;0;Andrea-Gab;Gould-Silas;;;;;;;;;;;;;;;;;;;;;;;;
39;No;Gab;Andrea;3;1;Walker;Calliope;;;0;Andrea-Gab;Calliope-Walker;;;;;;;;;;;;;;;;;;;;;;;;
40;No ;Gab;Andrea;3;1;Caricatura;Solveig;;;2;Andrea-Gab;Caricatura-Solveig;;;;;;;;;;;;;;;;;;;;;;;;
41;No;Fabio;Erika;3;2;Galileo Terribile;Song Segaossa;;;0;Erika-Fabio;Galileo Terribile-Song Segaossa;;;;;;;;;;;;;;;;;;;;;;;;
42;No;Andrea;Gian;3;2;Calliope;Centauro;;;0;Andrea-Gian;Calliope-Centauro;;;;;;;;;;;;;;;;;;;;;;;;
43;No;Fede;Sav;3;1;J.K. Queen;Lambert;;;3;Fede-Sav;J.K. Queen-Lambert;;;;;;;;;;;;;;;;;;;;;;;;
44;No;Fede;Fabio;3;1;Pixel;Galileo Terribile;;;1;Fabio-Fede;Galileo Terribile-Pixel;;;;;;;;;;;;;;;;;;;;;;;;
45;No;Gian;Sav;3;1;Centauro;Clarissa;;;0;Gian-Sav;Centauro-Clarissa;;;;;;;;;;;;;;;;;;;;;;;;
46;No;Sav;Gian;3;0;Clarissa;Centauro;;;0;Gian-Sav;Centauro-Clarissa;;;;;;;;;;;;;;;;;;;;;;;;
47;No;Martina;Gab;3;1;Caricatura;Silas;;;3;Gab-Martina;Caricatura-Silas;;;;;;;;;;;;;;;;;;;;;;;;
48;No;Fabio;Gab;3;2;Galileo Terribile;Walker;;;0;Fabio-Gab;Galileo Terribile-Walker;;;;;;;;;;;;;;;;;;;;;;;;
49;No;Gab;Fabio;3;1;Silas;Song Segaossa;;;0;Fabio-Gab;Silas-Song Segaossa;;;;;;;;;;;;;;;;;;;;;;;;
50;No;Gab;Sav;3;1;Caricatura;Clarissa;;;3;Gab-Sav;Caricatura-Clarissa;;;;;;;;;;;;;;;;;;;;;;;;
51;No;Sav;Gab;3;1;Caricatura;Clarissa;;;3;Gab-Sav;Caricatura-Clarissa;;;;;;;;;;;;;;;;;;;;;;;;
52;No;Gab;Sav;3;1;Caricatura;Torcia;;;3;Gab-Sav;Caricatura-Torcia;;;;;;;;;;;;;;;;;;;;;;;;
53;No;Sav;Gab;3;1;Caricatura;Torcia;;;3;Gab-Sav;Caricatura-Torcia;;;;;;;;;;;;;;;;;;;;;;;;
54;No;Sav;Gab;3;0;Tiberius;Silas;;;1;Gab-Sav;Silas-Tiberius;;;;;;;;;;;;;;;;;;;;;;;;
55;No;Sav;Gab;3;2;Tiberius;Walker;;;1;Gab-Sav;Tiberius-Walker;;;;;;;;;;;;;;;;;;;;;;;;
56;No;Fede;Noe;3;1;J.K. Queen;Pixel;;;2;Fede-Noe;J.K. Queen-Pixel;;;;;;;;;;;;;;;;;;;;;;;;
57;No;Andrea;Sav;3;0;Aja;Nelson;;;-1;Andrea-Sav;Aja-Nelson;;;;;;;;;;;;;;;;;;;;;;;;
58;No;Sav;Andrea;3;2;Nelson;Aja;;;1;Andrea-Sav;Aja-Nelson;;;;;;;;;;;;;;;;;;;;;;;;
